54	Psyshock	False Swipe/Flash Cannon/Rock Blast/Psyshock
55	Dig	Brine/Scald/Ice Beam/Dig
56	Bullet Seed	Fling/Stealth Rock/U-turn/Bullet Seed
57	False Swipe	Charge Beam/Pay Day/Payback/False Swipe
58	Brick Break	Endure/Sky Drop/Drill Run/Assurance/Brick Break
59	Zen Headbutt	Dragon Pulse/Incinerate/Brutal Swing/Dream Eater/Fling/Zen Headbutt
60	U-turn	Drain Punch/Quash/Megahorn/Power Swap/U-turn
61	Shadow Claw	Will-O-Wisp/Guard Swap/Shadow Claw
62	Foul Play	Silver Wind/Acrobatics/Speed Swap/Bug Buzz/Foul Play
63	Psychic Fangs	Embargo/Drain Punch/Nasty Plot/Psychic Fangs
64	Bulk Up	Explosion/Avalanche/Bulk Up
65	Air Slash	Shadow Claw/Air Slash
66	Body Slam	Payback/Thunder Fang/Body Slam
67	Fire Punch	Recycle/Retaliate/Smart Strike/Ice Fang/Fire Punch
68	Thunder Punch	Giga Impact/Fire Fang/Thunder Punch
69	Ice Punch	Rock Polish/Psycho Cut/Ice Punch
70	Sleep Talk	Flash/Aurora Veil/Trick Room/Sleep Talk
71	Seed Bomb	Stone Edge/Wonder Room/Seed Bomb
72	Electro Ball	Avalanche/Volt Switch/Magic Room/Electro Ball
73	Drain Punch	Thunder Wave/Cross Poison/Drain Punch
74	Reflect	Gyro Ball/Venoshock/Reflect
75	Light Screen	Swords Dance/Low Sweep/Light Screen
76	Rock Blast	Stealth Rock/Struggle Bug/Fly/Round/Rock Blast
77	Waterfall	Psych Up/Hex/Waterfall
78	Dragon Claw	Captivate/Bulldoze/Acrobatics/Snarl/Dragon Claw
79	Dazzling Gleam	Dark Pulse/Frost Breath/Retaliate/Dazzling Gleam
80	Metronome	Rock Slide/Volt Switch/Metronome
81	Grass Knot	X-Scissor/Bulldoze/Grass Knot
82	Thunder Wave	Sleep Talk/Dragon Tail/Electroweb/Thunder Wave
83	Poison Jab	Natural Gift/Work Up/Infestation/Razor Shell/Bulldoze/Poison Jab
84	Stomping Tantrum	Poison Jab/Tail Slap/Stomping Tantrum
85	Rest	Dream Eater/Snarl/Rest
86	Rock Slide	Grass Knot/Phantom Force/Rock Slide
87	Taunt	Swagger/Draining Kiss/Taunt
88	Swords Dance	Pluck/Sleep Talk/Grassy Terrain/Swords Dance
89	Body Press	U-turn/Misty Terrain/Body Press
90	Spikes	Substitute/Electric Terrain/Spikes
91	Toxic Spikes	Flash Cannon/Psychic Terrain/Toxic Spikes
92	Imprison	Trick Room/Mystical Fire/Imprison
93	Flash Cannon	Wild Charge/Eerie Impulse/Cut/Flash Cannon
94	Dark Pulse	Rock Smash/Surf/False Swipe/Fly/Dark Pulse
95	Leech Life	Snarl/Air Slash/Surf/Leech Life
96	Eerie Impulse	Nature Power/Smart Strike/Strength/Eerie Impulse
97	Fly	Dark Pulse/Brutal Swing/Defog/Fly
98	Skill Swap	Power-Up Punch/Waterfall/Stomping Tantrum/Rock Smash/Skill Swap
99	Iron Head	Dazzling Gleam/Breaking Swipe/Waterfall/Iron Head
100	Dragon Dance	Confide/Rock Climb/Dragon Dance
101	Power Gem	Power Gem
102	Gunk Shot	Gunk Shot
103	Substitute	Substitute
104	Iron Defense	Iron Defense
105	X-Scissor	X-Scissor
106	Drill Run	Drill Run
107	Will-O-Wisp	Will-O-Wisp
108	Crunch	Crunch
109	Trick	Trick
110	Liquidation	Liquidation
111	Giga Drain	Giga Drain
112	Aura Sphere	Aura Sphere
113	Tailwind	Tailwind
114	Shadow Ball	Shadow Ball
115	Dragon Pulse	Dragon Pulse
116	Stealth Rock	Stealth Rock
117	Hyper Voice	Hyper Voice
118	Heat Wave	Heat Wave
119	Energy Ball	Energy Ball
120	Psychic	Psychic
121	Heavy Slam	Heavy Slam
122	Encore	Encore
123	Surf	Surf
124	Ice Spinner	Ice Spinner
125	Flamethrower	Flamethrower
126	Thunderbolt	Thunderbolt
127	Play Rough	Play Rough
128	Amnesia	Amnesia
129	Calm Mind	Calm Mind
130	Helping Hand	Helping Hand
131	Pollen Puff	Pollen Puff
132	Baton Pass	Baton Pass
133	Earth Power	Earth Power
134	Reversal	Reversal
135	Ice Beam	Ice Beam
136	Electric Terrain	Electric Terrain
137	Grassy Terrain	Grassy Terrain
138	Psychic Terrain	Psychic Terrain
139	Misty Terrain	Misty Terrain
140	Nasty Plot	Nasty Plot
141	Fire Blast	Fire Blast
142	Hydro Pump	Hydro Pump
143	Blizzard	Blizzard
144	Fire Pledge	Fire Pledge
145	Water Pledge	Water Pledge
146	Grass Pledge	Grass Pledge
147	Wild Charge	Wild Charge
148	Sludge Bomb	Sludge Bomb
149	Earthquake	Earthquake
150	Stone Edge	Stone Edge
151	Phantom Force	Phantom Force
152	Giga Impact	Giga Impact
153	Blast Burn	Blast Burn
154	Hydro Cannon	Hydro Cannon
155	Frenzy Plant	Frenzy Plant
156	Outrage	Outrage
157	Overheat	Overheat
158	Focus Blast	Focus Blast
159	Leaf Storm	Leaf Storm
160	Hurricane	Hurricane
161	Trick Room	Trick Room
162	Bug Buzz	Bug Buzz
163	Hyper Beam	Hyper Beam
164	Brave Bird	Brave Bird
165	Flare Blitz	Flare Blitz
166	Thunder	Thunder
167	Close Combat	Close Combat
168	Solar Beam	Solar Beam
169	Draco Meteor	Draco Meteor
170	Steel Beam	Steel Beam
171	Tera Blast	Tera Blast
172	Roar	Roar
173	Charge	Charge
174	Haze	Haze
175	Toxic	Toxic
176	Sand Tomb	Sand Tomb
177	Spite	Spite
178	Gravity	Gravity
179	Smack Down	Smack Down
180	Gyro Ball	Gyro Ball
181	Knock Off	Knock Off
182	Bug Bite	Bug Bite
183	Super Fang	Super Fang
184	Vacuum Wave	Vacuum Wave
185	Lunge	Lunge
186	High Horsepower	High Horsepower
187	Icicle Spear	Icicle Spear
188	Scald	Scald
189	Heat Crash	Heat Crash
190	Solar Blade	Solar Blade
191	Uproar	Uproar
192	Focus Punch	Focus Punch
193	Weather Ball	Weather Ball
194	Grassy Glide	Grassy Glide
195	Burning Jealousy	Burning Jealousy
196	Flip Turn	Flip Turn
197	Dual Wingbeat	Dual Wingbeat
198	Poltergeist	Poltergeist
199	Lash Out	Lash Out
200	Scale Shot	Scale Shot
201	Misty Explosion	Misty Explosion
202	Pain Split	Pain Split
203	Psych Up	Psych Up
204	Double-Edge	Double-Edge
205	Endeavor	Endeavor
206	Petal Blizzard	Petal Blizzard
207	Temper Flare	Temper Flare
208	Whirlpool	Whirlpool
209	Muddy Water	Muddy Water
210	Supercell Slam	Supercell Slam
211	Electroweb	Electroweb
212	Triple Axel	Triple Axel
213	Coaching	Coaching
214	Sludge Wave	Sludge Wave
215	Scorching Sands	Scorching Sands
216	Feather Dance	Feather Dance
217	Future Sight	Future Sight
218	Expanding Force	Expanding Force
219	Skitter Smack	Skitter Smack
220	Meteor Beam	Meteor Beam
221	Throat Chop	Throat Chop
222	Breaking Swipe	Breaking Swipe
223	Metal Sound	Metal Sound
224	Curse	Curse
225	Hard Press	Hard Press
226	Dragon Cheer	Dragon Cheer
227	Alluring Voice	Alluring Voice
228	Psychic Noise	Psychic Noise
229	Upper Hand	Upper Hand
