Essentials Remix — Trainers,,,,,,,
Species,Plusle,Minun,,,,,
Nickname,,,,,,,
Level,17,17,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,2,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Coolcouple Alice & Bob,,,,,,
Sprite,"=IF(B253="""","""",IF(B253=""-----"","""",IMAGE(XLOOKUP(B253,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C253="""","""",IF(C253=""-----"","""",IMAGE(XLOOKUP(C253,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D253="""","""",IF(D253=""-----"","""",IMAGE(XLOOKUP(D253,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,
Species,Turtwig,Chimchar,Combusken,,,,
Nickname,,,,,,,
Level,19,19,19,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,3,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Swimmer2 F Ariel,,,,,,
Sprite,"=IF(B268="""","""",IF(B268=""-----"","""",IMAGE(XLOOKUP(B268,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C268="""","""",IF(C268=""-----"","""",IMAGE(XLOOKUP(C268,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,
Species,Staryu,Goldeen,,,,,
Nickname,,,,,,,
Level,15,11,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,2,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Rival1 Blue,,,,,,
Sprite,"=IF(B283="""","""",IF(B283=""-----"","""",IMAGE(XLOOKUP(B283,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C283="""","""",IF(C283=""-----"","""",IMAGE(XLOOKUP(C283,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D283="""","""",IF(D283=""-----"","""",IMAGE(XLOOKUP(D283,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,
Species,Pidgeotto,Rattata,Bulbasaur,,,,
Nickname,,,,,,,
Level,17,15,18,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,3,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Rival1 Blue (v1),,,,,,
Sprite,"=IF(B298="""","""",IF(B298=""-----"","""",IMAGE(XLOOKUP(B298,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C298="""","""",IF(C298=""-----"","""",IMAGE(XLOOKUP(C298,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D298="""","""",IF(D298=""-----"","""",IMAGE(XLOOKUP(D298,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,
Species,Pidgeotto,Rattata,Charmander,,,,
Nickname,,,,,,,
Level,17,15,18,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,3,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Rival1 Blue (v2),,,,,,
Sprite,"=IF(B313="""","""",IF(B313=""-----"","""",IMAGE(XLOOKUP(B313,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C313="""","""",IF(C313=""-----"","""",IMAGE(XLOOKUP(C313,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D313="""","""",IF(D313=""-----"","""",IMAGE(XLOOKUP(D313,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,
Species,Pidgeotto,Rattata,Squirtle,,,,
Nickname,,,,,,,
Level,17,15,18,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,3,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Champion Blue,,,,,,
Sprite,"=IF(B328="""","""",IF(B328=""-----"","""",IMAGE(XLOOKUP(B328,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C328="""","""",IF(C328=""-----"","""",IMAGE(XLOOKUP(C328,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D328="""","""",IF(D328=""-----"","""",IMAGE(XLOOKUP(D328,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,
Species,Venusaur,Charizard,Blastoise,,,,
Nickname,,,,,,,
Level,60,60,60,,,,
Held Item,Sitrusberry,Sitrusberry,Sitrusberry,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,3,,,,,,
,,,,,,,
