MapID,CommentName,DisplayName,Region,Outdoor,ShowArea,MapPosition,HealingSpot,BattleBack,Flags,HasEncounters,Status,Notes
066,Safari Zone outside,Safari Zone,Essen (stock),TRUE,TRUE,"0,12,12","",field,"",Yes,"",""
067,Safari Zone gate,Safari Zone,Essen (stock),FALSE,FALSE,"0,12,12","","","",No,"",""
068,Safari Zone,Safari Zone,Essen (stock),TRUE,TRUE,"0,12,12","",forest,"",Yes,"",""
069,Route 8,Route 8,Essen (stock),TRUE,TRUE,"0,13,13","",field,"",Yes,"",""
070,Route 8 underwater,Route 8,Essen (stock),FALSE,FALSE,"0,13,13","",underwater,"",Yes,"",""
071,Route 8 harbor,Route 8,Essen (stock),FALSE,FALSE,"0,13,13","","","",No,"",""
072,Berth Island,Berth Island,Essen (stock),TRUE,TRUE,"0,18,17","",field,DistortionWorld,No,"",""
073,Faraday Island,Faraday Island,Essen (stock),TRUE,TRUE,"0,22,16","",field,DistortionWorld,No,"",""
074,Route 6 Cycling Road gate,Route 6,Essen (stock),FALSE,FALSE,"0,12,10","","","",No,"",""
075,Tiall Region,Tiall Region,Essen (stock),TRUE,FALSE,"1,13,16","",city,"",Yes,"",""
076,Northshire Abbey,Northshire Abbey,Elwynn / Northshire,TRUE,TRUE,"0,12,11","",field,"",Yes,"",""
042,Northshire Vineyards,Northshire Vineyards,Elwynn / Northshire,TRUE,TRUE,"0,13,11","",field,"",Yes,"",""
033,Echo Ridge Mine,Echo Ridge Mine,Elwynn / Northshire,FALSE,FALSE,"0,12,11","",cave1,"",Yes,"",""
077,Goldshire,Goldshire,Elwynn / Northshire,TRUE,TRUE,"0,20,12","",field,"",Yes,"",""
078,Lion's Pride Inn,Lion's Pride Inn,Essen (stock),FALSE,FALSE,"0,20,12","",indoor1,"",No,"",""
079,Brackwell Pumpkin Patch,Brackwell Pumpkin Patch,Essen (stock),TRUE,TRUE,"0,21,14","",field,"",Yes,"",""
080,Crystal Lake,Crystal Lake,Elwynn / Northshire,TRUE,TRUE,"0,20,13","",field,"",Yes,"",""
081,Eastvale Logging Camp,Eastvale Logging Camp,Elwynn / Northshire,TRUE,TRUE,"0,22,12","",field,"",Yes,"",""
082,Fargodeep Mine,Fargodeep Mine,Elwynn / Northshire,FALSE,FALSE,"0,19,12","",cave1,"",Yes,"",""
083,Forest's Edge,Forest's Edge,Essen (stock),TRUE,TRUE,"0,19,12","",field,"",Yes,"",""
084,Heroes' Vigil,Heroes' Vigil,Essen (stock),TRUE,TRUE,"0,19,11","",field,"",Yes,"",""
085,Jasperlode Mine,Jasperlode Mine,Elwynn / Northshire,FALSE,FALSE,"0,22,12","",cave1,"",Yes,"",""
086,Jerod's Landing,Jerod's Landing,Elwynn / Northshire,TRUE,TRUE,"0,18,13","",field,"",Yes,"",""
087,The Maclure Vineyards,The Maclure Vineyards,Elwynn / Northshire,TRUE,TRUE,"0,19,14","",field,"",Yes,"",""
088,Mirror Lake,Mirror Lake,Essen (stock),TRUE,TRUE,"0,20,11","",field,"",Yes,"",""
089,Mirror Lake Orchard,Mirror Lake Orchard,Essen (stock),TRUE,TRUE,"0,20,10","",field,"",Yes,"",""
090,Ridgepoint Tower,Ridgepoint Tower,Essen (stock),TRUE,TRUE,"0,22,11","",field,"",Yes,"",""
091,Stone Cairn Lake,Stone Cairn Lake,Elwynn / Northshire,TRUE,TRUE,"0,23,12","",field,"",Yes,"",""
092,The Stonefield Farm,The Stonefield Farm,Elwynn / Northshire,TRUE,TRUE,"0,20,14","",field,"",Yes,"",""
093,Stormwind City,Stormwind City,Elwynn / Northshire,TRUE,TRUE,"0,17,13","",city,"",No,"",""
094,Thunder Falls,Thunder Falls,Essen (stock),TRUE,TRUE,"0,23,11","",field,"",Yes,"",""
095,Tower of Azora,Tower of Azora,Essen (stock),TRUE,TRUE,"0,21,12","",field,"",Yes,"",""
096,Westbrook Garrison,Westbrook Garrison,Essen (stock),TRUE,TRUE,"0,18,12","",field,"",Yes,"",""
