Sprite,Dex#,Species ID,BST,Available to catch?,Name,Form Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,BST,Showdown ID,Sprite URL
=IMAGE(R17),12,BUTTERFREE,395,1,Butterfree,-,Bug,Flying,60,45,50,90,80,70,395,butterfree,https://play.pokemonshowdown.com/sprites/gen5/butterfree.png
=IMAGE(R18),13,WEEDLE,195,1,Weedle,-,Bug,Poison,40,35,30,20,20,50,195,weedle,https://play.pokemonshowdown.com/sprites/gen5/weedle.png
=IMAGE(R19),14,KAKUNA,205,1,Kakuna,-,Bug,Poison,45,25,50,25,25,35,205,kakuna,https://play.pokemonshowdown.com/sprites/gen5/kakuna.png
=IMAGE(R20),15,BEEDRILL,395,1,Beedrill,-,Bug,Poison,65,90,40,45,80,75,395,beedrill,https://play.pokemonshowdown.com/sprites/gen5/beedrill.png
=IMAGE(R21),15,BEEDRILL,495,1,Beedrill (Mega Beedrill),Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495,beedrill-mega,https://play.pokemonshowdown.com/sprites/gen5/beedrill-mega.png
=IMAGE(R22),16,PIDGEY,251,1,Pidgey,-,Normal,Flying,40,45,40,35,35,56,251,pidgey,https://play.pokemonshowdown.com/sprites/gen5/pidgey.png
=IMAGE(R23),17,PIDGEOTTO,349,1,Pidgeotto,-,Normal,Flying,63,60,55,50,50,71,349,pidgeotto,https://play.pokemonshowdown.com/sprites/gen5/pidgeotto.png
=IMAGE(R24),18,PIDGEOT,479,1,Pidgeot,-,Normal,Flying,83,80,75,70,70,101,479,pidgeot,https://play.pokemonshowdown.com/sprites/gen5/pidgeot.png
=IMAGE(R25),18,PIDGEOT,579,1,Pidgeot (Mega Pidgeot),Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579,pidgeot-mega,https://play.pokemonshowdown.com/sprites/gen5/pidgeot-mega.png
=IMAGE(R26),19,RATTATA,253,1,Rattata,-,Normal,,30,56,35,25,35,72,253,rattata,https://play.pokemonshowdown.com/sprites/gen5/rattata.png
=IMAGE(R27),19,RATTATA,253,1,Rattata (Alolan),Alolan,Dark,Normal,30,56,35,25,35,72,253,rattata-alola,https://play.pokemonshowdown.com/sprites/gen5/rattata-alola.png
=IMAGE(R28),20,RATICATE,413,1,Raticate,-,Normal,,55,81,60,50,70,97,413,raticate,https://play.pokemonshowdown.com/sprites/gen5/raticate.png
=IMAGE(R29),20,RATICATE,413,1,Raticate (Alolan),Alolan,Dark,Normal,75,71,70,40,80,77,413,raticate-alola,https://play.pokemonshowdown.com/sprites/gen5/raticate-alola.png
=IMAGE(R30),21,SPEAROW,262,1,Spearow,-,Normal,Flying,40,60,30,31,31,70,262,spearow,https://play.pokemonshowdown.com/sprites/gen5/spearow.png
=IMAGE(R31),22,FEAROW,442,1,Fearow,-,Normal,Flying,65,90,65,61,61,100,442,fearow,https://play.pokemonshowdown.com/sprites/gen5/fearow.png
=IMAGE(R32),23,EKANS,288,1,Ekans,-,Poison,,35,60,44,40,54,55,288,ekans,https://play.pokemonshowdown.com/sprites/gen5/ekans.png
=IMAGE(R33),24,ARBOK,448,1,Arbok,-,Poison,,60,95,69,65,79,80,448,arbok,https://play.pokemonshowdown.com/sprites/gen5/arbok.png
=IMAGE(R34),25,PIKACHU,320,1,Pikachu,-,Electric,,35,55,40,50,50,90,320,pikachu,https://play.pokemonshowdown.com/sprites/gen5/pikachu.png
=IMAGE(R35),26,RAICHU,485,1,Raichu,-,Electric,,60,90,55,90,80,110,485,raichu,https://play.pokemonshowdown.com/sprites/gen5/raichu.png
=IMAGE(R36),26,RAICHU,485,1,Raichu (Alolan),Alolan,Electric,Psychic,60,85,50,95,85,110,485,raichu-alola,https://play.pokemonshowdown.com/sprites/gen5/raichu-alola.png
=IMAGE(R37),26,RAICHU,585,1,Raichu (Mega Raichu X),Mega Raichu X,Electric,,60,135,95,90,95,110,585,raichu-megax,https://play.pokemonshowdown.com/sprites/gen5/raichu-megax.png
=IMAGE(R38),26,RAICHU,585,1,Raichu (Mega Raichu Y),Mega Raichu Y,Electric,,60,100,55,160,80,130,585,raichu-megay,https://play.pokemonshowdown.com/sprites/gen5/raichu-megay.png
=IMAGE(R39),27,SANDSHREW,300,1,Sandshrew,-,Ground,,50,75,85,20,30,40,300,sandshrew,https://play.pokemonshowdown.com/sprites/gen5/sandshrew.png
=IMAGE(R40),27,SANDSHREW,300,1,Sandshrew (Alolan),Alolan,Ice,Steel,50,75,90,10,35,40,300,sandshrew-alola,https://play.pokemonshowdown.com/sprites/gen5/sandshrew-alola.png
=IMAGE(R41),28,SANDSLASH,450,1,Sandslash,-,Ground,,75,100,110,45,55,65,450,sandslash,https://play.pokemonshowdown.com/sprites/gen5/sandslash.png
=IMAGE(R42),28,SANDSLASH,450,1,Sandslash (Alolan),Alolan,Ice,Steel,75,100,120,25,65,65,450,sandslash-alola,https://play.pokemonshowdown.com/sprites/gen5/sandslash-alola.png
=IMAGE(R43),29,NIDORANfE,275,1,Nidoran♀,-,Poison,,55,47,52,40,40,41,275,nidoranf,https://play.pokemonshowdown.com/sprites/gen5/nidoranf.png
=IMAGE(R44),30,NIDORINA,365,1,Nidorina,-,Poison,,70,62,67,55,55,56,365,nidorina,https://play.pokemonshowdown.com/sprites/gen5/nidorina.png
=IMAGE(R45),31,NIDOQUEEN,505,1,Nidoqueen,-,Poison,Ground,90,92,87,75,85,76,505,nidoqueen,https://play.pokemonshowdown.com/sprites/gen5/nidoqueen.png
=IMAGE(R46),32,NIDORANmA,273,1,Nidoran♂,-,Poison,,46,57,40,40,40,50,273,nidoranm,https://play.pokemonshowdown.com/sprites/gen5/nidoranm.png
=IMAGE(R47),33,NIDORINO,365,1,Nidorino,-,Poison,,61,72,57,55,55,65,365,nidorino,https://play.pokemonshowdown.com/sprites/gen5/nidorino.png
=IMAGE(R48),34,NIDOKING,505,1,Nidoking,-,Poison,Ground,81,102,77,85,75,85,505,nidoking,https://play.pokemonshowdown.com/sprites/gen5/nidoking.png
=IMAGE(R49),35,CLEFAIRY,323,1,Clefairy,-,Fairy,,70,45,48,60,65,35,323,clefairy,https://play.pokemonshowdown.com/sprites/gen5/clefairy.png
=IMAGE(R50),36,CLEFABLE,483,1,Clefable,-,Fairy,,95,70,73,95,90,60,483,clefable,https://play.pokemonshowdown.com/sprites/gen5/clefable.png
=IMAGE(R51),36,CLEFABLE,583,1,Clefable (Mega Clefable),Mega Clefable,Fairy,Flying,95,80,93,135,110,70,583,clefable-mega,https://play.pokemonshowdown.com/sprites/gen5/clefable-mega.png
=IMAGE(R52),37,VULPIX,299,1,Vulpix,-,Fire,,38,41,40,50,65,65,299,vulpix,https://play.pokemonshowdown.com/sprites/gen5/vulpix.png
=IMAGE(R53),37,VULPIX,299,1,Vulpix (Alolan),Alolan,Ice,,38,41,40,50,65,65,299,vulpix-alola,https://play.pokemonshowdown.com/sprites/gen5/vulpix-alola.png
=IMAGE(R54),38,NINETALES,505,1,Ninetales,-,Fire,,73,76,75,81,100,100,505,ninetales,https://play.pokemonshowdown.com/sprites/gen5/ninetales.png
=IMAGE(R55),38,NINETALES,505,1,Ninetales (Alolan),Alolan,Ice,Fairy,73,67,75,81,100,109,505,ninetales-alola,https://play.pokemonshowdown.com/sprites/gen5/ninetales-alola.png
=IMAGE(R56),39,JIGGLYPUFF,270,1,Jigglypuff,-,Normal,Fairy,115,45,20,45,25,20,270,jigglypuff,https://play.pokemonshowdown.com/sprites/gen5/jigglypuff.png
=IMAGE(R57),40,WIGGLYTUFF,435,1,Wigglytuff,-,Normal,Fairy,140,70,45,85,50,45,435,wigglytuff,https://play.pokemonshowdown.com/sprites/gen5/wigglytuff.png
=IMAGE(R58),41,ZUBAT,245,1,Zubat,-,Poison,Flying,40,45,35,30,40,55,245,zubat,https://play.pokemonshowdown.com/sprites/gen5/zubat.png
=IMAGE(R59),42,GOLBAT,455,1,Golbat,-,Poison,Flying,75,80,70,65,75,90,455,golbat,https://play.pokemonshowdown.com/sprites/gen5/golbat.png
=IMAGE(R60),43,ODDISH,320,1,Oddish,-,Grass,Poison,45,50,55,75,65,30,320,oddish,https://play.pokemonshowdown.com/sprites/gen5/oddish.png
=IMAGE(R61),44,GLOOM,395,1,Gloom,-,Grass,Poison,60,65,70,85,75,40,395,gloom,https://play.pokemonshowdown.com/sprites/gen5/gloom.png
=IMAGE(R62),45,VILEPLUME,490,1,Vileplume,-,Grass,Poison,75,80,85,110,90,50,490,vileplume,https://play.pokemonshowdown.com/sprites/gen5/vileplume.png
=IMAGE(R63),46,PARAS,285,1,Paras,-,Bug,Grass,35,70,55,45,55,25,285,paras,https://play.pokemonshowdown.com/sprites/gen5/paras.png
=IMAGE(R64),47,PARASECT,405,1,Parasect,-,Bug,Grass,60,95,80,60,80,30,405,parasect,https://play.pokemonshowdown.com/sprites/gen5/parasect.png
=IMAGE(R65),48,VENONAT,305,1,Venonat,-,Bug,Poison,60,55,50,40,55,45,305,venonat,https://play.pokemonshowdown.com/sprites/gen5/venonat.png
=IMAGE(R66),49,VENOMOTH,450,1,Venomoth,-,Bug,Poison,70,65,60,90,75,90,450,venomoth,https://play.pokemonshowdown.com/sprites/gen5/venomoth.png
=IMAGE(R67),50,DIGLETT,265,1,Diglett,-,Ground,,10,55,25,35,45,95,265,diglett,https://play.pokemonshowdown.com/sprites/gen5/diglett.png
=IMAGE(R68),50,DIGLETT,265,1,Diglett (Alolan),Alolan,Ground,Steel,10,55,30,35,45,90,265,diglett-alola,https://play.pokemonshowdown.com/sprites/gen5/diglett-alola.png
=IMAGE(R69),51,DUGTRIO,425,1,Dugtrio,-,Ground,,35,100,50,50,70,120,425,dugtrio,https://play.pokemonshowdown.com/sprites/gen5/dugtrio.png
=IMAGE(R70),51,DUGTRIO,425,1,Dugtrio (Alolan),Alolan,Ground,Steel,35,100,60,50,70,110,425,dugtrio-alola,https://play.pokemonshowdown.com/sprites/gen5/dugtrio-alola.png
=IMAGE(R71),52,MEOWTH,290,1,Meowth,-,Normal,,40,45,35,40,40,90,290,meowth,https://play.pokemonshowdown.com/sprites/gen5/meowth.png
=IMAGE(R72),52,MEOWTH,290,1,Meowth (Alolan),Alolan,Dark,,40,35,35,50,40,90,290,meowth-alola,https://play.pokemonshowdown.com/sprites/gen5/meowth-alola.png
=IMAGE(R73),52,MEOWTH,290,1,Meowth (Galarian),Galarian,Steel,,50,65,55,40,40,40,290,meowth-galar,https://play.pokemonshowdown.com/sprites/gen5/meowth-galar.png
=IMAGE(R74),53,PERSIAN,440,1,Persian,-,Normal,,65,70,60,65,65,115,440,persian,https://play.pokemonshowdown.com/sprites/gen5/persian.png
=IMAGE(R75),53,PERSIAN,440,1,Persian (Alolan),Alolan,Dark,,65,60,60,75,65,115,440,persian-alola,https://play.pokemonshowdown.com/sprites/gen5/persian-alola.png
=IMAGE(R76),54,PSYDUCK,320,1,Psyduck,-,Water,,50,52,48,65,50,55,320,psyduck,https://play.pokemonshowdown.com/sprites/gen5/psyduck.png
=IMAGE(R77),55,GOLDUCK,500,1,Golduck,-,Water,,80,82,78,95,80,85,500,golduck,https://play.pokemonshowdown.com/sprites/gen5/golduck.png
=IMAGE(R78),56,MANKEY,305,1,Mankey,-,Fighting,,40,80,35,35,45,70,305,mankey,https://play.pokemonshowdown.com/sprites/gen5/mankey.png
=IMAGE(R79),57,PRIMEAPE,455,1,Primeape,-,Fighting,,65,105,60,60,70,95,455,primeape,https://play.pokemonshowdown.com/sprites/gen5/primeape.png
=IMAGE(R80),58,GROWLITHE,350,1,Growlithe,-,Fire,,55,70,45,70,50,60,350,growlithe,https://play.pokemonshowdown.com/sprites/gen5/growlithe.png
=IMAGE(R81),58,GROWLITHE,350,1,Growlithe (Hisuian),Hisuian,Fire,Rock,60,75,45,65,50,55,350,growlithe-hisui,https://play.pokemonshowdown.com/sprites/gen5/growlithe-hisui.png
=IMAGE(R82),59,ARCANINE,555,1,Arcanine,-,Fire,,90,110,80,100,80,95,555,arcanine,https://play.pokemonshowdown.com/sprites/gen5/arcanine.png
=IMAGE(R83),59,ARCANINE,555,1,Arcanine (Hisuian),Hisuian,Fire,Rock,95,115,80,95,80,90,555,arcanine-hisui,https://play.pokemonshowdown.com/sprites/gen5/arcanine-hisui.png
=IMAGE(R84),60,POLIWAG,300,1,Poliwag,-,Water,,40,50,40,40,40,90,300,poliwag,https://play.pokemonshowdown.com/sprites/gen5/poliwag.png
=IMAGE(R85),61,POLIWHIRL,385,1,Poliwhirl,-,Water,,65,65,65,50,50,90,385,poliwhirl,https://play.pokemonshowdown.com/sprites/gen5/poliwhirl.png
=IMAGE(R86),62,POLIWRATH,510,1,Poliwrath,-,Water,Fighting,90,95,95,70,90,70,510,poliwrath,https://play.pokemonshowdown.com/sprites/gen5/poliwrath.png
=IMAGE(R87),63,ABRA,310,1,Abra,-,Psychic,,25,20,15,105,55,90,310,abra,https://play.pokemonshowdown.com/sprites/gen5/abra.png
=IMAGE(R88),64,KADABRA,400,1,Kadabra,-,Psychic,,40,35,30,120,70,105,400,kadabra,https://play.pokemonshowdown.com/sprites/gen5/kadabra.png
=IMAGE(R89),65,ALAKAZAM,500,1,Alakazam,-,Psychic,,55,50,45,135,95,120,500,alakazam,https://play.pokemonshowdown.com/sprites/gen5/alakazam.png
=IMAGE(R90),65,ALAKAZAM,600,1,Alakazam (Mega Alakazam),Mega Alakazam,Psychic,,55,50,65,175,105,150,600,alakazam-mega,https://play.pokemonshowdown.com/sprites/gen5/alakazam-mega.png
=IMAGE(R91),66,MACHOP,305,1,Machop,-,Fighting,,70,80,50,35,35,35,305,machop,https://play.pokemonshowdown.com/sprites/gen5/machop.png
=IMAGE(R92),67,MACHOKE,405,1,Machoke,-,Fighting,,80,100,70,50,60,45,405,machoke,https://play.pokemonshowdown.com/sprites/gen5/machoke.png
=IMAGE(R93),68,MACHAMP,505,1,Machamp,-,Fighting,,90,130,80,65,85,55,505,machamp,https://play.pokemonshowdown.com/sprites/gen5/machamp.png
=IMAGE(R94),69,BELLSPROUT,300,1,Bellsprout,-,Grass,Poison,50,75,35,70,30,40,300,bellsprout,https://play.pokemonshowdown.com/sprites/gen5/bellsprout.png
=IMAGE(R95),70,WEEPINBELL,390,1,Weepinbell,-,Grass,Poison,65,90,50,85,45,55,390,weepinbell,https://play.pokemonshowdown.com/sprites/gen5/weepinbell.png
=IMAGE(R96),71,VICTREEBEL,490,1,Victreebel,-,Grass,Poison,80,105,65,100,70,70,490,victreebel,https://play.pokemonshowdown.com/sprites/gen5/victreebel.png
=IMAGE(R97),71,VICTREEBEL,590,1,Victreebel (Mega Victreebel),Mega Victreebel,Grass,Poison,80,125,85,135,95,70,590,victreebel-mega,https://play.pokemonshowdown.com/sprites/gen5/victreebel-mega.png
=IMAGE(R98),72,TENTACOOL,335,1,Tentacool,-,Water,Poison,40,40,35,50,100,70,335,tentacool,https://play.pokemonshowdown.com/sprites/gen5/tentacool.png
=IMAGE(R99),73,TENTACRUEL,515,1,Tentacruel,-,Water,Poison,80,70,65,80,120,100,515,tentacruel,https://play.pokemonshowdown.com/sprites/gen5/tentacruel.png
=IMAGE(R100),74,GEODUDE,300,1,Geodude,-,Rock,Ground,40,80,100,30,30,20,300,geodude,https://play.pokemonshowdown.com/sprites/gen5/geodude.png
=IMAGE(R101),74,GEODUDE,300,1,Geodude (Alolan),Alolan,Rock,Electric,40,80,100,30,30,20,300,geodude-alola,https://play.pokemonshowdown.com/sprites/gen5/geodude-alola.png
=IMAGE(R102),75,GRAVELER,390,1,Graveler,-,Rock,Ground,55,95,115,45,45,35,390,graveler,https://play.pokemonshowdown.com/sprites/gen5/graveler.png
=IMAGE(R103),75,GRAVELER,390,1,Graveler (Alolan),Alolan,Rock,Electric,55,95,115,45,45,35,390,graveler-alola,https://play.pokemonshowdown.com/sprites/gen5/graveler-alola.png
=IMAGE(R104),76,GOLEM,495,1,Golem,-,Rock,Ground,80,120,130,55,65,45,495,golem,https://play.pokemonshowdown.com/sprites/gen5/golem.png
=IMAGE(R105),76,GOLEM,495,1,Golem (Alolan),Alolan,Rock,Electric,80,120,130,55,65,45,495,golem-alola,https://play.pokemonshowdown.com/sprites/gen5/golem-alola.png
=IMAGE(R106),77,PONYTA,410,1,Ponyta,-,Fire,,50,85,55,65,65,90,410,ponyta,https://play.pokemonshowdown.com/sprites/gen5/ponyta.png
=IMAGE(R107),77,PONYTA,410,1,Ponyta (Galarian),Galarian,Psychic,,50,85,55,65,65,90,410,ponyta-galar,https://play.pokemonshowdown.com/sprites/gen5/ponyta-galar.png
=IMAGE(R108),78,RAPIDASH,500,1,Rapidash,-,Fire,,65,100,70,80,80,105,500,rapidash,https://play.pokemonshowdown.com/sprites/gen5/rapidash.png
=IMAGE(R109),78,RAPIDASH,500,1,Rapidash (Galarian),Galarian,Psychic,Fairy,65,100,70,80,80,105,500,rapidash-galar,https://play.pokemonshowdown.com/sprites/gen5/rapidash-galar.png
=IMAGE(R110),79,SLOWPOKE,315,1,Slowpoke,-,Water,Psychic,90,65,65,40,40,15,315,slowpoke,https://play.pokemonshowdown.com/sprites/gen5/slowpoke.png
=IMAGE(R111),79,SLOWPOKE,315,1,Slowpoke (Galarian),Galarian,Psychic,,90,65,65,40,40,15,315,slowpoke-galar,https://play.pokemonshowdown.com/sprites/gen5/slowpoke-galar.png
=IMAGE(R112),80,SLOWBRO,490,1,Slowbro,-,Water,Psychic,95,75,110,100,80,30,490,slowbro,https://play.pokemonshowdown.com/sprites/gen5/slowbro.png
=IMAGE(R113),80,SLOWBRO,490,1,Slowbro (Galarian),Galarian,Poison,Psychic,95,100,95,100,70,30,490,slowbro-galar,https://play.pokemonshowdown.com/sprites/gen5/slowbro-galar.png
=IMAGE(R114),80,SLOWBRO,590,1,Slowbro (Mega Slowbro),Mega Slowbro,Water,Psychic,95,75,180,130,80,30,590,slowbro-mega,https://play.pokemonshowdown.com/sprites/gen5/slowbro-mega.png
=IMAGE(R115),81,MAGNEMITE,325,1,Magnemite,-,Electric,Steel,25,35,70,95,55,45,325,magnemite,https://play.pokemonshowdown.com/sprites/gen5/magnemite.png
=IMAGE(R116),82,MAGNETON,465,1,Magneton,-,Electric,Steel,50,60,95,120,70,70,465,magneton,https://play.pokemonshowdown.com/sprites/gen5/magneton.png
=IMAGE(R117),83,FARFETCHD,377,1,Farfetch'd,-,Normal,Flying,52,90,55,58,62,60,377,farfetchd,https://play.pokemonshowdown.com/sprites/gen5/farfetchd.png
=IMAGE(R118),83,FARFETCHD,377,1,Farfetch'd (Galarian),Galarian,Fighting,,52,95,55,58,62,55,377,farfetchd-galar,https://play.pokemonshowdown.com/sprites/gen5/farfetchd-galar.png
=IMAGE(R119),84,DODUO,310,1,Doduo,-,Normal,Flying,35,85,45,35,35,75,310,doduo,https://play.pokemonshowdown.com/sprites/gen5/doduo.png
=IMAGE(R120),85,DODRIO,470,1,Dodrio,-,Normal,Flying,60,110,70,60,60,110,470,dodrio,https://play.pokemonshowdown.com/sprites/gen5/dodrio.png
=IMAGE(R121),86,SEEL,325,1,Seel,-,Water,,65,45,55,45,70,45,325,seel,https://play.pokemonshowdown.com/sprites/gen5/seel.png
=IMAGE(R122),87,DEWGONG,475,1,Dewgong,-,Water,Ice,90,70,80,70,95,70,475,dewgong,https://play.pokemonshowdown.com/sprites/gen5/dewgong.png
=IMAGE(R123),88,GRIMER,325,1,Grimer,-,Poison,,80,80,50,40,50,25,325,grimer,https://play.pokemonshowdown.com/sprites/gen5/grimer.png
=IMAGE(R124),88,GRIMER,325,1,Grimer (Alolan),Alolan,Poison,Dark,80,80,50,40,50,25,325,grimer-alola,https://play.pokemonshowdown.com/sprites/gen5/grimer-alola.png
=IMAGE(R125),89,MUK,500,1,Muk,-,Poison,,105,105,75,65,100,50,500,muk,https://play.pokemonshowdown.com/sprites/gen5/muk.png
=IMAGE(R126),89,MUK,500,1,Muk (Alolan),Alolan,Poison,Dark,105,105,75,65,100,50,500,muk-alola,https://play.pokemonshowdown.com/sprites/gen5/muk-alola.png
=IMAGE(R127),90,SHELLDER,305,1,Shellder,-,Water,,30,65,100,45,25,40,305,shellder,https://play.pokemonshowdown.com/sprites/gen5/shellder.png
=IMAGE(R128),91,CLOYSTER,525,1,Cloyster,-,Water,Ice,50,95,180,85,45,70,525,cloyster,https://play.pokemonshowdown.com/sprites/gen5/cloyster.png
=IMAGE(R129),92,GASTLY,310,1,Gastly,-,Ghost,Poison,30,35,30,100,35,80,310,gastly,https://play.pokemonshowdown.com/sprites/gen5/gastly.png
=IMAGE(R130),93,HAUNTER,405,1,Haunter,-,Ghost,Poison,45,50,45,115,55,95,405,haunter,https://play.pokemonshowdown.com/sprites/gen5/haunter.png
=IMAGE(R131),94,GENGAR,500,1,Gengar,-,Ghost,Poison,60,65,60,130,75,110,500,gengar,https://play.pokemonshowdown.com/sprites/gen5/gengar.png
=IMAGE(R132),94,GENGAR,600,1,Gengar (Mega Gengar),Mega Gengar,Ghost,Poison,60,65,80,170,95,130,600,gengar-mega,https://play.pokemonshowdown.com/sprites/gen5/gengar-mega.png
=IMAGE(R133),95,ONIX,385,1,Onix,-,Rock,Ground,35,45,160,30,45,70,385,onix,https://play.pokemonshowdown.com/sprites/gen5/onix.png
=IMAGE(R134),96,DROWZEE,328,1,Drowzee,-,Psychic,,60,48,45,43,90,42,328,drowzee,https://play.pokemonshowdown.com/sprites/gen5/drowzee.png
=IMAGE(R135),97,HYPNO,483,1,Hypno,-,Psychic,,85,73,70,73,115,67,483,hypno,https://play.pokemonshowdown.com/sprites/gen5/hypno.png
=IMAGE(R136),98,KRABBY,325,1,Krabby,-,Water,,30,105,90,25,25,50,325,krabby,https://play.pokemonshowdown.com/sprites/gen5/krabby.png
=IMAGE(R137),99,KINGLER,475,1,Kingler,-,Water,,55,130,115,50,50,75,475,kingler,https://play.pokemonshowdown.com/sprites/gen5/kingler.png
=IMAGE(R138),100,VOLTORB,330,1,Voltorb,-,Electric,,40,30,50,55,55,100,330,voltorb,https://play.pokemonshowdown.com/sprites/gen5/voltorb.png
=IMAGE(R139),100,VOLTORB,330,1,Voltorb (Hisuian),Hisuian,Electric,Grass,40,30,50,55,55,100,330,voltorb-hisui,https://play.pokemonshowdown.com/sprites/gen5/voltorb-hisui.png
=IMAGE(R140),101,ELECTRODE,490,1,Electrode,-,Electric,,60,50,70,80,80,150,490,electrode,https://play.pokemonshowdown.com/sprites/gen5/electrode.png
=IMAGE(R141),101,ELECTRODE,490,1,Electrode (Hisuian),Hisuian,Electric,Grass,60,50,70,80,80,150,490,electrode-hisui,https://play.pokemonshowdown.com/sprites/gen5/electrode-hisui.png
=IMAGE(R142),102,EXEGGCUTE,325,1,Exeggcute,-,Grass,Psychic,60,40,80,60,45,40,325,exeggcute,https://play.pokemonshowdown.com/sprites/gen5/exeggcute.png
=IMAGE(R143),103,EXEGGUTOR,530,1,Exeggutor,-,Grass,Psychic,95,95,85,125,75,55,530,exeggutor,https://play.pokemonshowdown.com/sprites/gen5/exeggutor.png
=IMAGE(R144),103,EXEGGUTOR,530,1,Exeggutor (Alolan),Alolan,Grass,Dragon,95,105,85,125,75,45,530,exeggutor-alola,https://play.pokemonshowdown.com/sprites/gen5/exeggutor-alola.png
=IMAGE(R145),104,CUBONE,320,1,Cubone,-,Ground,,50,50,95,40,50,35,320,cubone,https://play.pokemonshowdown.com/sprites/gen5/cubone.png
=IMAGE(R146),104,CUBONE,320,1,Cubone (Form 1),Form 1,Ground,,50,50,95,40,50,35,320,cubone-form1,https://play.pokemonshowdown.com/sprites/gen5/cubone-form1.png
=IMAGE(R147),105,MAROWAK,425,1,Marowak,-,Ground,,60,80,110,50,80,45,425,marowak,https://play.pokemonshowdown.com/sprites/gen5/marowak.png
=IMAGE(R148),105,MAROWAK,425,1,Marowak (Alolan),Alolan,Fire,Ghost,60,80,110,50,80,45,425,marowak-alola,https://play.pokemonshowdown.com/sprites/gen5/marowak-alola.png
=IMAGE(R149),106,HITMONLEE,455,1,Hitmonlee,-,Fighting,,50,120,53,35,110,87,455,hitmonlee,https://play.pokemonshowdown.com/sprites/gen5/hitmonlee.png
=IMAGE(R150),107,HITMONCHAN,455,1,Hitmonchan,-,Fighting,,50,105,79,35,110,76,455,hitmonchan,https://play.pokemonshowdown.com/sprites/gen5/hitmonchan.png
=IMAGE(R151),108,LICKITUNG,385,1,Lickitung,-,Normal,,90,55,75,60,75,30,385,lickitung,https://play.pokemonshowdown.com/sprites/gen5/lickitung.png
=IMAGE(R152),109,KOFFING,340,1,Koffing,-,Poison,,40,65,95,60,45,35,340,koffing,https://play.pokemonshowdown.com/sprites/gen5/koffing.png
=IMAGE(R153),110,WEEZING,490,1,Weezing,-,Poison,,65,90,120,85,70,60,490,weezing,https://play.pokemonshowdown.com/sprites/gen5/weezing.png
